,sgID,CRISPRoff-Rep1,CRISPRoff Rep2,CRISPRoff mut Rep1,CRISPRoff mut Rep2,gene,source_A,CRISPRoff_average,mutant_average,CpG,hit_and_run_hit,mutant_hit
16393,KRT6A_-_52887057.23-P1|KRT6A_-_52887074.23-P1,0.009320936,0.008589089,0.035563232,0.001519844,KRT6A,predicted,0.008955012,0.018541538,FALSO,FALSO,FALSO
8906,C16orf70_+_67143859.23-P1P2|C16orf70_+_67144249.23-P1P2,0.022288871,-0.004360637,0.011210966,0.024730474,C16orf70,predicted,0.008964117,0.01797072,VERDADERO,FALSO,FALSO
9349,TNNT3_-_1942663.23-P2|TNNT3_+_1942667.23-P2,0.014199189,0.003734068,-0.008646208,0.00595103,TNNT3,predicted,0.008966629,-0.001347589,FALSO,FALSO,FALSO
2305,TMEM63A_-_226070011.23-P1|TMEM63A_-_226070008.23-P1,0.031217788,-0.013275185,-0.042713221,0.000434826,TMEM63A,predicted,0.008971302,-0.021139198,VERDADERO,FALSO,FALSO
2738,SMAD9_-_37494136.23-P1P2|SMAD9_-_37494376.23-P1P2,0.00031668,0.017632518,-0.020107781,-0.034382794,SMAD9,predicted,0.008974599,-0.027245288,VERDADERO,FALSO,FALSO
7823,KRT33B_-_39526027.23-P1P2|KRT33B_+_39526057.23-P1P2,0.007828319,0.01012337,-0.024463477,-0.050531445,KRT33B,predicted,0.008975844,-0.037497461,FALSO,FALSO,FALSO
5589,GPRIN3_+_90228504.23-P1P2|GPRIN3_+_90228893.23-P1P2,0.01760648,0.000353067,0.032076732,0.038359202,GPRIN3,predicted,0.008979774,0.035217967,VERDADERO,FALSO,FALSO
1924,DPYSL3_+_146833187.23-P1P2|DPYSL3_+_146833208.23-P1P2,0.007364589,0.010600543,0.025840842,0.024002255,DPYSL3,predicted,0.008982566,0.024921549,VERDADERO,FALSO,FALSO
7650,ERO1LB_-_236445193.23-P1P2|ERO1LB_-_236445200.23-P1P2,0.022166391,-0.004194111,-0.019106434,-0.031386144,ERO1LB,predicted,0.00898614,-0.025246289,VERDADERO,FALSO,FALSO
7320,DHRS13_+_27229942.23-P1P2|DHRS13_+_27229706.23-P1P2,0.019195492,-0.001221963,-0.007891135,-0.025837582,DHRS13,predicted,0.008986764,-0.016864359,VERDADERO,FALSO,FALSO
20312,L3MBTL1_+_42143141.23-P1|L3MBTL1_-_42143172.23-P1,0.019349403,-0.001375018,0.066107831,0.034618642,L3MBTL1,predicted,0.008987193,0.050363237,VERDADERO,FALSO,FALSO
5088,PIF1_+_65115970.23-P2|PIF1_-_65116192.23-P2,-0.005387558,0.023366926,0.008572209,-0.00622119,PIF1,predicted,0.008989684,0.001175509,VERDADERO,FALSO,FALSO
17522,non-targeting_03712|non-targeting_00372,-0.023138868,0.041121943,-0.059893302,-0.053671696,non-targeting,negative_control,0.008991537,-0.056782499,FALSO,FALSO,FALSO
12938,RHOG_+_3861920.23-P1P2|RHOG_-_3862066.23-P1P2,0.019914927,-0.001931608,0.006659076,-0.002061769,RHOG,predicted,0.008991659,0.002298654,VERDADERO,FALSO,FALSO
3200,CX3CR1_+_39321478.23-P1P2|CX3CR1_-_39321463.23-P1P2,0.008965647,0.009021471,0.051825925,0.009058596,CX3CR1,predicted,0.008993559,0.03044226,FALSO,FALSO,FALSO
20055,TRPC5OS_+_111125464.23-P1P2|TRPC5OS_-_111125480.23-P1P2,-0.020215879,0.038210257,0.010868275,0.012543383,TRPC5OS,predicted,0.008997189,0.011705829,FALSO,FALSO,FALSO
8909,ACTN3_-_66314441.23-P1P2|ACTN3_+_66313715.23-P1P2,0.026287364,-0.008281089,0.007688281,-0.018102213,ACTN3,predicted,0.009003137,-0.005206966,VERDADERO,FALSO,FALSO
10537,HOXC12_-_54348717.23-P1P2|HOXC12_+_54348911.23-P1P2,0.041260456,-0.023234049,-0.043059344,-0.014064716,HOXC12,predicted,0.009013203,-0.02856203,VERDADERO,FALSO,FALSO
10248,PSPC1_-_20357032.23-P1P2|PSPC1_+_20357044.23-P1P2,-0.005946585,0.023976428,0.00465277,0.022244781,PSPC1,predicted,0.009014922,0.013448776,VERDADERO,FALSO,FALSO
3087,KIAA1671_-_25424089.23-ENST00000358431.3|KIAA1671_+_25424099.23-ENST00000358431.3,0.01141757,0.006627085,0.019369646,0.027143928,KIAA1671,predicted,0.009022328,0.023256787,VERDADERO,FALSO,FALSO
